REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
91165,Active,MUS-116-01,"Music, Culture, Context",MWF  ,10:00 AM - 10:50 AM  ,"Perman, Tony ",28 /30 ,4.00000,,RECORD COUNT 702
91174,Active,MUS-120-03,Perf: Trombone,AR  ,,"Parker, Robert C ",2  /3  ,1.00000,,RECORD COUNT 702
91175,Active,MUS-120-04,Perf: French Horn,AR  ,,"Wallace, Guinevere ",9  /10 ,1.00000,,RECORD COUNT 702
91176,Active,MUS-120-05,Perf: Trumpet,AR  ,,"Swartz, Craig L ",20 /20 ,1.00000,,RECORD COUNT 702
91177,Active,MUS-120-06,Perf: Bagpipes,AR  ,,"Clower, Robert P ",10 /10 ,1.00000,,RECORD COUNT 702
91178,Active,MUS-120-07,Perf: Saxophone,AR  ,,"Smith, Ryan J ",20 /20 ,1.00000,,RECORD COUNT 702
91179,Active,MUS-120-08,Perf: Percussion,AR  ,,"Ramirez, Stacey ",11 /20 ,1.00000,,RECORD COUNT 702
91180,Active,MUS-120-09,Perf: Clarinet,AR  ,,"Smith, Ryan J ",18 /20 ,1.00000,,RECORD COUNT 702
91181,Active,MUS-120-10,Perf: Jazz Saxophone,AR  ,,"Smith, Ryan J ",2  /4  ,1.00000,,RECORD COUNT 702
91183,Active,MUS-120-12,Perf: Harpsichord,AR  ,,"Brown, Jennifer Williams ",20 /20 ,1.00000,,RECORD COUNT 702
91187,Active,MUS-120-16,Perf: Banjo,AR  ,,"Buck, Fred L ",18 /22 ,1.00000,,RECORD COUNT 702
91189,Active,MUS-120-18,Perf: Harp,AR  ,,"Erickson, Laura J ",9  /12 ,1.00000,,RECORD COUNT 702
91819,Active,MUS-120-19,Perf: Organ,AR  ,,"Elsbernd, Michael J ",20 /20 ,1.00000,,RECORD COUNT 702
91191,Active,MUS-120-21,Perf: Viola,AR  ,,"Miranda, Charles D ",13 /14 ,1.00000,,RECORD COUNT 702
91193,Active,MUS-120-24,Perf: Flute,AR  ,,"Anderson, Claudia ",7  /8  ,1.00000,,RECORD COUNT 702
91196,Active,MUS-120-27,Perf: Jazz Piano,AR  ,,"Espinosa, Gabriel ",17 /20 ,1.00000,,RECORD COUNT 702
91197,Active,MUS-120-28,Perf: Jazz Voice,AR  ,,"Espinosa, Gabriel ",10 /10 ,1.00000,,RECORD COUNT 702
91198,Active,MUS-120-31,Perf: Lute,AR  ,,"Welke, Cameron ",20 /20 ,1.00000,,RECORD COUNT 702
91199,Active,MUS-120-35,Perf: Tuba,AR  ,,"Parker, Robert C ",3  /3  ,1.00000,,RECORD COUNT 702
91200,Active,MUS-120-38,Perf: Cello,AR  ,,"Henson, Alan K ",13 /15 ,1.00000,,RECORD COUNT 702
91201,Active,MUS-120-39,Perf: Double Bass,AR  ,,"Charlson, Steven E ",20 /20 ,1.00000,,RECORD COUNT 702
91202,Active,MUS-120-40,Perf: Bassoon,AR  ,,"Wohlenhaus, Jennifer ",3  /3  ,1.00000,,RECORD COUNT 702
91203,Cancelled,MUS-120-41,Perf: Cornetto,AR  ,,"Baxtresser, William J ",20 /20 ,1.00000,,RECORD COUNT 702
91205,Active,MUS-120-43,Perf: Accordion,AR  ,,"Bergan, Joyce A ",6  /6  ,1.00000,,RECORD COUNT 702
91207,Cancelled,MUS-120-45,Perf: Jazz Organ,AR  ,,"Monaco, Tony G ",3  /3  ,1.00000,,RECORD COUNT 702
91208,Active,MUS-120-46,Perf: Oboe,AR  ,,"Wohlenhaus, Jennifer ",20 /20 ,1.00000,,RECORD COUNT 702
91209,Active,MUS-120-48,Perf: Jazz Bass,AR  ,,"Charlson, Steven E ",2  /3  ,1.00000,,RECORD COUNT 702
